October,"AI Frontier: Data, Agents & Robots [Tech Week]",October 6,4:00pm,"San Francisco, CA",https://partiful.com/e/OtqKL1z4hvYDLMk0uP8w
,Law Meets Code: AI Rules That Could Shape Your Startup [Tech Week],October 6,4:00pm,"San Francisco, CA",https://partiful.com/e/BSa6N2I7XZ9zTInxHS3g
,Official a16z SF Tech Week Kickoff [Tech Week],October 6,6:00pm,"San Francisco, CA",https://forms.gle/ZaXKir7wc1FxGcRc7
,Winning the AI Era: Mastering GEO (Generative Engine Optimization) [Tech Week],October 6,11:00am,"San Francisco, CA",https://partiful.com/e/3ZVzNoca5stLqytHY2nV
,Spark & Build: Women’s Health Startup Sprint [Tech Week],October 6,6:00pm,"San Francisco, CA",https://partiful.com/e/gf0IQt8udCZ0NDMHyrPq
,Meet Maya [Tech Week],October 6,12:00pm,"San Francisco, CA",#
,Founders Shaping the Future: California M&A Policy Path Forward [Tech Week],October 6,10:30am,"Chinatown, San Francisco, CA",https://aws.amazon.com/startups/events/founders-shaping-the-future-california-ma-policy-path-forward?trk=4ac5f417-2a94-4876-a3bf-6c50b8ac84f8&sc_channel=el
,The Silicon Tea Salon [Tech Week],October 6,3:00pm,"San Francisco, CA",https://partiful.com/e/UywAn1WuAFcFbLjS7aNB
,Elevate Your Pitch Workshop [Tech Week],October 6,4:00pm,"San Francisco, CA",https://partiful.com/e/UCRaiMfMPKG4lq4TI1eL
,Building in the Probabilistic Era - Presented by Scribble Ventures and CIBC [Tech Week],October 6,6:00pm,"San Francisco, CA",https://partiful.com/e/AGdqFulkAUbaDZFOIhmz
,Agent runtime and Investor happy hours - Infrastructure for the future of AI [Tech Week],October 6,6:00am,"San Francisco, CA",#
,Barry's Marina  Private Class [Tech Week],October 6,1:30pm,"San Francisco, CA",https://partiful.com/e/5kbxNY0dxFZ5wES1zdDc
,AI-at-Scale Mixer: From Build to Breakout [Tech Week],October 6,6:30pm,"FiDi (SF), San Francisco, CA",https://partiful.com/e/KiCIcmKdv7k4uipsfSTe
,AI x Nails: AI-Powered Nail Design & Salon Tech [Tech Week],October 6,5:30pm,"SOMA, San Francisco, CA",https://partiful.com/e/51JQSzE8rY21lTu6ZHUE
,Happy Hour: AI Cashflow Scoring for SMB Lending [Tech Week],October 6,4:00pm,"SOMA, San Francisco, CA",https://partiful.com/e/bIaSa80pQFU4w2eV5CsH
,a16z speedrun Titans of New Media Dinner [Tech Week],October 6,6:00pm,"SOMA, San Francisco, CA",https://partiful.com/e/C2ZredvfhrKZ7ZwwUHPL
,Tech Talk with Reed Smith [Tech Week],October 6,3:00pm,"SOMA, San Francisco, CA",https://partiful.com/e/yXtmplYXe2rNlRBwa4Sv
,Start and Grow in the United States as an immigrant [Tech Week],October 6,2:30pm,"SOMA, San Francisco, CA",https://partiful.com/e/S32GySDQGfx1ipsO3O5M
,Virio Run Club [Tech Week],October 6,6:30am,"Embarcadero, San Francisco, CA",https://partiful.com/e/h22ruJhjQXu6aAhVgWPi
,"Founder Secondaries: The Why's, When's, and How's [Tech Week]",October 6,5:30pm,"FiDi (SF), San Francisco, CA",https://partiful.com/e/f75uhHoBp46YS4hFji7P
,"Global Capital, Local Impact: LP–GP Roundtable (Amino Capital, Pillsbury) [Tech Week]",October 6,9:00am,"Embarcadero, San Francisco, CA",https://partiful.com/e/AMWhV1oH2bKG2wA8o8K6
,Movie Screening (The Social Network) & Pizza by Zingroll [Tech Week],October 6,6:30pm,"Mission, San Francisco, CA",https://partiful.com/e/BpPFQavCTvXpnLVlmIrq
,Brunch & Water Cycling on the Bay with Mercury [Tech Week],October 6,11:00am,"Embarcadero, San Francisco, CA",https://partiful.com/e/eRKOknmaLfq2jkKg3IxQ
,Office Hours: Agentic Voice and Telephony [Tech Week],October 6,12:00pm,"Virtual (SF), San Francisco, CA",https://partiful.com/events/8xTxz1hvJRATqkdxSyxW
,Tech Cafe [Tech Week],October 6,8:00am,"SOMA, San Francisco, CA",https://partiful.com/e/azNbXLZTOYFmTzqDkjyA
,Vibe Week Starter Pack [Tech Week],October 6,2:00pm,"SOMA, San Francisco, CA",https://partiful.com/e/56oqJx0q85eKvpqr7TTu
,Mix & Mingle [Tech Week],October 6,6:00pm,"SOMA, San Francisco, CA",https://partiful.com/e/mGveqX3FsfgUqU85ZQLK
,Vertical AI: The Future of Scientific Innovation [Tech Week],October 6,4:00pm,"Downtown (SF), San Francisco, CA",https://partiful.com/e/ayJKBpkSonJqJSvRgPFU
,Compliance Calm: SF Tech Week Yoga w/ Assenteo [Tech Week],October 6,5:00pm,"FiDi (SF), San Francisco, CA",https://partiful.com/e/2u8wzdSLbE1T6wFUrXcU
,AI x Bio RAG-A-Thon (SF) [Tech Week],October 6,6:00pm,"SOMA, San Francisco, CA",https://partiful.com/e/AJ50x5clpYAzweieDico
,A Byte To Eat: Angel Investor Breakfast [Tech Week],October 6,8:30am,"Downtown (SF), San Francisco, CA",https://partiful.com/e/H7w0OT8lZqwyKzmiEr4g
,Delphi x D.E. Shaw Ventures Biking & Coffee [Tech Week],October 6,7:00am,"Marina, San Francisco, CA",https://partiful.com/e/rS1x1tHcKy8fe9oPmJLD
,How to Raise a Round [Tech Week],October 6,11:30am,"Embarcadero, San Francisco, CA",https://partiful.com/e/BTzKZqO0ExAI2UeyFSbP
,The Next Level of Compliance and Tax: Elevate Beyond Checkbox SOC 2 [Tech Week],October 6,5:00pm,"South Beach, San Francisco, CA",https://partiful.com/e/DMCLQFr9KrZKBJDD6Q0L
,"Will AI kill your Eng team?"" With Vercel, Docker, Chime, Enrich and Cowboy Ventures [Tech Week]",October 6,6:30pm,"Downtown (SF), San Francisco, CA",https://partiful.com/e/6FGliQHGdU9Rf5TBAgwO
,VCPE: LUNCH Robotic Autonomous Food Truck [Tech Week],October 6,12:00pm,"Downtown (SF), San Francisco, CA",https://partiful.com/e/DUes1gOBYXyr36c6zsGi
,How to Build a Marketing Plan Book Launch [Tech Week],October 6,5:00pm,"Downtown (SF), San Francisco, CA",https://partiful.com/e/yxAwzAFRx5l4hWdO5Sga?
,IRL is the New ABM: Building Revenue with Events [Tech Week],October 6,6:00pm,"FiDi (SF), San Francisco, CA",https://partiful.com/e/rdpop5ifhIZQnNjV4Mb8
,Startup-Corporate differs from Corporate-Startup [Tech Week],October 6,10:00am,"SOMA, San Francisco, CA",https://partiful.com/e/8ciHQYyiTF1dvu0ZYLu9
,LP-GP Dinner [Tech Week],October 6,5:30pm,"Palo Alto, San Francisco, CA",https://partiful.com/e/TJ88u3SS8aPBTi1Yp4vU
,Fintech House SF [Tech Week],October 6,4:00pm,"SOMA, San Francisco, CA",https://partiful.com/e/WlhYCv8AizDkwlZdBwRz
,Agents Meet SF Cohort: Meet Your Next Partner [Tech Week],October 6,8:00am,"SOMA, San Francisco, CA",https://partiful.com/e/PR2CZK5AyDhMvnHO3nfs
